Model,Metric,DeltaDiff,CI_Low,CI_High,N_Defects
deepseek_v3_2,Line_Deviation,-15.609150871373144,-26.88958237824447,-0.8534877190164876,10
gpt_5_mini,Line_Deviation,-10.234682598954443,-24.639671765660083,-1.150432589101379,11
grok_4_1_fast,Line_Deviation,-12.42051258613488,-23.449643480506328,1.3175949957607564,10
deepseek_v3_2,Levenshtein,-0.13094818122793264,-0.21568073429664775,0.0007355198695302314,10
gpt_5_mini,Levenshtein,-0.11375819718913371,-0.23659275352674997,-0.017822552511243157,11
grok_4_1_fast,Levenshtein,-0.098557231486952,-0.17752108021441398,0.019279693910066828,10
deepseek_v3_2,Spurious_N,-0.3769328586917804,-1.8259066530358674,0.70971739995393,10
gpt_5_mini,Spurious_N,-0.5846629947722182,-1.9684504715988507,0.7978335267323107,11
grok_4_1_fast,Spurious_N,-0.06572649540582942,-0.8718997109714087,1.1041549683482341,10
deepseek_v3_2,Delta_Volume,-12.993136944586794,-28.114641367242815,-2.631367648337041,10
gpt_5_mini,Delta_Volume,1.7077235365328463,-10.932046200947829,11.233085646235033,11
grok_4_1_fast,Delta_Volume,-13.77990127869425,-26.907453582750243,-2.2702809175668084,10
