Model,Batch,Metric,Delta,CI_Low,CI_High
gpt_5_mini,isolated,Minimal,-0.23577235772357721,-0.4868932748538012,0.0425531914893617
gpt_5_mini,two_way,Minimal,-0.2723907766990291,-0.4968027045814194,0.004459000620516059
gpt_5_mini,three_way,Minimal,-0.18787154592979835,-0.3992291271805663,0.09627873017162737
deepseek_v3_2,isolated,Minimal,-0.12948717948717947,-0.3132357571214393,0.2500880281690136
deepseek_v3_2,two_way,Minimal,-0.056487202118270075,-0.31570176802221944,0.26117489423435386
deepseek_v3_2,three_way,Minimal,0.19209148313568455,-0.09320610189016364,0.47415771245877913
grok_4_1_fast,isolated,Minimal,0.08756756756756756,-0.12746238030095758,0.3598602150537634
grok_4_1_fast,two_way,Minimal,-0.011892905266858045,-0.27254601514469934,0.3160919540229885
grok_4_1_fast,three_way,Minimal,0.04058814748469919,-0.30991816189664045,0.42197643520472755
gpt_5_mini,isolated,Line_Deviation,-2.786991869918701,-22.460201277480685,10.998190672288128
gpt_5_mini,two_way,Line_Deviation,5.094174757281554,-10.59603391922978,17.79698403162502
gpt_5_mini,three_way,Line_Deviation,-5.140507841672889,-23.668581555200866,4.003838525139793
deepseek_v3_2,isolated,Line_Deviation,-6.246153846153845,-38.64787071764442,6.201067529018285
deepseek_v3_2,two_way,Line_Deviation,-9.03486319505737,-33.54831097560976,2.4761409761409756
deepseek_v3_2,three_way,Line_Deviation,-24.644014066430515,-50.46565566753707,-1.1719970374360358
grok_4_1_fast,isolated,Line_Deviation,-5.2767567567567575,-24.694552104164856,6.165827317629178
grok_4_1_fast,two_way,Line_Deviation,-2.2769347940711224,-19.249708340143837,7.51187658933256
grok_4_1_fast,three_way,Line_Deviation,-14.697447380206002,-41.230970618231325,1.199287705048574
gpt_5_mini,isolated,Levenshtein,0.034941017886178816,-0.19800538814735213,0.16710801581066173
gpt_5_mini,two_way,Levenshtein,0.0997400658373786,-0.09283391242457667,0.20948300517356722
gpt_5_mini,three_way,Levenshtein,-0.014018131351755114,-0.2184856289581175,0.11525963245727186
deepseek_v3_2,isolated,Levenshtein,-0.028683041025641037,-0.2829945675210735,0.08748811602474317
deepseek_v3_2,two_way,Levenshtein,-0.09763550452338926,-0.30896668890297857,0.01101439745557594
deepseek_v3_2,three_way,Levenshtein,-0.2285836857513219,-0.4185900523752783,-0.03257749636326246
grok_4_1_fast,isolated,Levenshtein,-0.12697302756756762,-0.3725977338191817,-0.007494488326746211
grok_4_1_fast,two_way,Levenshtein,-0.04333486882652768,-0.21226765239249354,0.06088288566935784
grok_4_1_fast,three_way,Levenshtein,-0.14189210031347968,-0.36108926784978007,0.008900565960602137
gpt_5_mini,isolated,Spurious_N,1.114634146341464,-3.7835238095238095,6.116509941671228
gpt_5_mini,two_way,Spurious_N,1.065230582524272,-1.2926812879255318,3.4694941091190565
gpt_5_mini,three_way,Spurious_N,0.4805675877520539,-1.4933048219287712,2.0265255543215615
