Model,Batch,Quartile,N_Scored,N_Passed,Pass_Rate,Minimal_Rate_Passed,Avg_Line_Deviation,Avg_Levenshtein,Avg_Jaccard,Avg_Expected_N,Avg_Actual_N,Avg_Spurious_N,Avg_Missed_N,Avg_Delta_Volume,Avg_Delta_Effort,Avg_Union_Actual_Coverage,Avg_Union_OutOfSlice_Actual_N
deepseek_v3_2,isolated,Q1,81,30,0.37037037037037035,0.5333333333333333,16.4,0.16271973333333334,0.7998193787835731,12.8,3.533333333333333,2.466666666666667,11.733333333333333,-7.303326058277476,-86.8884758051597,0.5,1.0
deepseek_v3_2,isolated,Q2,81,32,0.3950617283950617,0.375,22.34375,0.22996275,0.7327522675335116,17.75,4.125,2.875,16.5,-1.883844807736467,-38.13275246147582,0.2,2.2
deepseek_v3_2,isolated,Q3,81,31,0.38271604938271603,0.5483870967741935,7.225806451612903,0.12660609677419354,0.8386605310242812,4.129032258064516,3.903225806451613,2.870967741935484,3.096774193548387,4.3122286540053585,65.52189074748208,0.20408163265306123,2.4285714285714284
deepseek_v3_2,isolated,Q4,81,52,0.6419753086419753,0.40384615384615385,10.153846153846153,0.1340366923076923,0.819684798039026,6.3076923076923075,3.019230769230769,2.0,5.288461538461538,17.065947723390007,145.88774194926324,0.4468005952380952,1.625
deepseek_v3_2,three_way,Q1,513,172,0.33528265107212474,0.23837209302325582,31.575581395348838,0.3166871802325581,0.6232783867396429,26.267441860465116,3.633720930232558,2.1627906976744184,24.796511627906977,11.948564272652849,115.42580361319892,0.24350311850311848,2.3653846153846154
deepseek_v3_2,three_way,Q2,513,222,0.4327485380116959,0.5045045045045045,18.18018018018018,0.18167864864864863,0.7762019345340452,13.477477477477477,3.7882882882882885,2.581081081081081,12.27027027027027,10.728063486260268,103.93111751334361,0.4717606607361427,2.1770833333333335
deepseek_v3_2,three_way,Q3,513,287,0.5594541910331384,0.3170731707317073,14.89198606271777,0.16037276655052266,0.784906891258337,8.637630662020905,3.794425087108014,2.8397212543554007,7.682926829268292,20.418675826598218,169.73927532796387,0.5125191064470003,3.0
deepseek_v3_2,three_way,Q4,513,453,0.8830409356725146,0.4304635761589404,6.931567328918322,0.0881034944812362,0.8753525984236495,4.5364238410596025,2.1346578366445916,1.2538631346578366,3.6556291390728477,17.957695816160655,156.38325263782275,0.5044804914186937,1.1685393258426966
deepseek_v3_2,two_way,Q1,261,88,0.3371647509578544,0.45454545454545453,17.272727272727273,0.19519889772727275,0.7613813120778087,14.147727272727273,3.090909090909091,1.8863636363636365,12.943181818181818,3.680530309766924,62.16063658232854,0.25,2.125
deepseek_v3_2,two_way,Q2,261,113,0.4329501915708812,0.35398230088495575,21.353982300884955,0.24636961946902658,0.703644049409425,17.52212389380531,2.8761061946902653,1.8495575221238938,16.495575221238937,10.919776893159975,117.7281757875348,0.46343537414965985,1.8214285714285714
