Model,Outcome,N,Coef_TotalScore,SE_TotalScore,Z,P,OR,OR_CI_Low,OR_CI_High,Q
deepseek_v3_2,Minimal (logit),1801,0.3414198321648909,0.18038634797605607,1.8927143655583623,0.058395864950942844,1.406943797146469,0.9879359513858117,2.003663137830165,0.07299483118867856
deepseek_v3_2,delta effort,1801,15.12951761601498,7.7806978752429075,1.9444936506473267,0.051835950351033944,,,,0.07299483118867856
deepseek_v3_2,delta volume,1801,2.5176935228389223,1.0040447734667126,2.507551046898002,0.012157102030257327,,,,0.07299483118867856
deepseek_v3_2,jaccard distance,1801,-0.01281782835853526,0.005872145028405334,-2.182818764954129,0.02904915921798823,,,,0.07299483118867856
deepseek_v3_2,lev,1801,-0.010081279787005919,0.005214887195210916,-1.9331731271702384,0.05321487401374725,,,,0.07299483118867856
deepseek_v3_2,log1p dev,1801,-0.05061608546025003,0.02130223214161333,-2.376093036812461,0.017497050470408393,,,,0.07299483118867856
deepseek_v3_2,log1p missed,1801,0.013808927331209116,0.0084843817709895,1.627570246594247,0.10361604228997923,,,,0.11512893587775469
deepseek_v3_2,log1p spurious,1801,-0.045897404879756534,0.02120300035615024,-2.1646655713253016,0.030413305489820575,,,,0.07299483118867856
deepseek_v3_2,log1p union out of slice actual,598,-0.024882535297130113,0.017320153549931105,-1.4366232507926633,0.15082507336951356,,,,0.15082507336951356
deepseek_v3_2,union actual coverage,598,-0.010111903080734575,0.005027699158306031,-2.0112386923607324,0.04430025067687127,,,,0.07299483118867856
gpt_5_mini,Minimal (logit),1685,-0.15134824690474116,0.33401077907771737,-0.4531238402624293,0.6504595693829973,0.8595483114929513,0.4466368753545453,1.6541923440689879,0.9612792178375685
gpt_5_mini,delta effort,1685,32.1185085456192,10.134196917779098,3.169319562882339,0.0015279629731952404,,,,0.014491970376409036
gpt_5_mini,delta volume,1685,2.0813289570311153,0.6988280422915948,2.9783134491942076,0.002898394075281807,,,,0.014491970376409036
gpt_5_mini,jaccard distance,1685,0.00038812968379960664,0.01129749449557878,0.03435537711051768,0.972593766355075,,,,0.972593766355075
gpt_5_mini,lev,1685,0.001842393528236347,0.0077943445377594255,0.23637568487137525,0.8131411623122418,,,,0.9612792178375685
gpt_5_mini,log1p dev,1685,-0.011671607319609567,0.06872907916109175,-0.16982051064954448,0.8651512960538117,,,,0.9612792178375685
gpt_5_mini,log1p missed,1685,-0.0027760625985262604,0.008656060248517367,-0.32070740253936564,0.7484321369757292,,,,0.9612792178375685
gpt_5_mini,log1p spurious,1685,-0.01809739967236224,0.04196204019796059,-0.4312802615646366,0.6662646006573292,,,,0.9612792178375685
gpt_5_mini,log1p union out of slice actual,567,-0.0749374935863231,0.04060703382746968,-1.845431358141448,0.06497481506579272,,,,0.21658271688597575
gpt_5_mini,union actual coverage,567,0.006227827350491515,0.01825034670411724,0.3412443309412051,0.7329196526848334,,,,0.9612792178375685
grok_4_1_fast,Minimal (logit),1639,0.09130311633642298,0.11034258290968806,0.8274513241288879,0.4079813005187347,1.095601049508213,0.8825248374366764,1.3601222410577487,0.45331255613192745
grok_4_1_fast,delta effort,1639,32.95091411694685,29.374144532139262,1.1217659149492547,0.2619619821828678,,,,0.3590862225936525
grok_4_1_fast,delta volume,1639,3.011951851442106,2.179945209229943,1.3816640155401272,0.16707488819210847,,,,0.33414977638421695
grok_4_1_fast,jaccard distance,1639,-0.015046887175451749,0.00751840635169799,-2.0013399744020877,0.04535576462529489,,,,0.27704049386607865
grok_4_1_fast,lev,1639,-0.012464108862712986,0.006506422924197581,-1.9156622629553626,0.05540809877321573,,,,0.27704049386607865
grok_4_1_fast,log1p dev,1639,-0.04385734747306823,0.03128769695134177,-1.4017441916953688,0.1609916491111123,,,,0.33414977638421695
grok_4_1_fast,log1p missed,1639,0.003858131542811329,0.005573135146819368,0.6922730996418048,0.48876584003566936,,,,0.48876584003566936
grok_4_1_fast,log1p spurious,1639,-0.03213737161356905,0.029797975370429212,-1.0785085635536633,0.28080686219212425,,,,0.3590862225936525
grok_4_1_fast,log1p union out of slice actual,546,-0.019851445616265548,0.018655062127230438,-1.064131841581421,0.287268978074922,,,,0.3590862225936525
grok_4_1_fast,union actual coverage,546,0.00821496232284265,0.0058824358517822585,1.3965239111538603,0.16255678528419315,,,,0.33414977638421695
