Model,Batch,Metric,SpearmanR,N
gpt_5_mini,isolated,Minimal,-0.1792795175909496,141
gpt_5_mini,isolated,Line_Deviation,-0.08833443002710813,141
gpt_5_mini,isolated,Levenshtein,0.014790470182399453,141
gpt_5_mini,isolated,Jaccard,-0.008920072204576794,141
gpt_5_mini,isolated,Spurious_N,0.03852797513054816,141
gpt_5_mini,isolated,Missed_N,-0.032870370570894765,141
gpt_5_mini,isolated,Delta_Volume,-0.032770670655683995,141
gpt_5_mini,isolated,Delta_Effort,-0.08625785073371857,141
gpt_5_mini,isolated,Union_Actual_Coverage,0.24782432752808017,141
gpt_5_mini,isolated,Union_OutOfSlice_Actual_N,-0.3261602725301361,141
gpt_5_mini,two_way,Minimal,-0.1456741911198648,493
gpt_5_mini,two_way,Line_Deviation,0.002967753683411002,493
gpt_5_mini,two_way,Levenshtein,0.06231579158194945,493
gpt_5_mini,two_way,Jaccard,-0.063920448729861,493
gpt_5_mini,two_way,Spurious_N,0.0715285073462712,493
gpt_5_mini,two_way,Missed_N,-0.09041639086408101,493
gpt_5_mini,two_way,Delta_Volume,-0.016659434524494792,493
gpt_5_mini,two_way,Delta_Effort,-0.02147484395710536,493
gpt_5_mini,two_way,Union_Actual_Coverage,0.15066899887727125,493
gpt_5_mini,two_way,Union_OutOfSlice_Actual_N,-0.21044204143504638,493
gpt_5_mini,three_way,Minimal,-0.05845764580819463,1051
gpt_5_mini,three_way,Line_Deviation,-0.18404159775586645,1051
gpt_5_mini,three_way,Levenshtein,-0.1298202116744121,1051
gpt_5_mini,three_way,Jaccard,0.12070072608957881,1051
gpt_5_mini,three_way,Spurious_N,0.05735683653809263,1051
gpt_5_mini,three_way,Missed_N,-0.18868807130271276,1051
gpt_5_mini,three_way,Delta_Volume,-0.018821737153585365,1051
gpt_5_mini,three_way,Delta_Effort,-0.0326261724440236,1051
gpt_5_mini,three_way,Union_Actual_Coverage,0.2511206355621367,1051
gpt_5_mini,three_way,Union_OutOfSlice_Actual_N,-0.19044446852454702,1051
deepseek_v3_2,isolated,Minimal,0.03232551087708766,145
deepseek_v3_2,isolated,Line_Deviation,-0.05131493030933091,145
deepseek_v3_2,isolated,Levenshtein,-0.0749897387840844,145
deepseek_v3_2,isolated,Jaccard,0.0772551591313747,145
deepseek_v3_2,isolated,Spurious_N,-0.003497730931356404,145
deepseek_v3_2,isolated,Missed_N,-0.03685908209281865,145
deepseek_v3_2,isolated,Delta_Volume,0.17300083059333984,145
