Defect,Language,Stage,C1_Readability,C2_Problem_Identification,C3_Explanation_Clarity,C4_Actionability,C5_Contextual_Adequacy,C6_Brevity
defect1_py,python,CODE_ONLY,0.0,1,1,1.0,0.0,1
defect1_py,python,SLICE_NAIVE,0.0,1,1,1.0,0.667,1
defect1_py,python,SLICE_BACKWARD,0.333,1,1,1.0,0.333,1
defect1_py,python,SLICE_FORWARD,0.0,1,1,1.0,0.0,1
defect1_py,python,SLICE_UNION,0.333,1,1,1.0,0.0,1
defect2_py,python,CODE_ONLY,1.0,1,1,1.0,0.667,1
defect2_py,python,SLICE_NAIVE,1.0,1,1,1.0,1.0,1
defect2_py,python,SLICE_BACKWARD,1.0,1,1,1.0,1.0,1
defect2_py,python,SLICE_FORWARD,1.0,1,1,0.667,0.333,1
defect2_py,python,SLICE_UNION,1.0,1,1,0.667,1.0,1
defect7_py,python,CODE_ONLY,1.0,1,1,1.0,1.0,1
defect7_py,python,SLICE_NAIVE,1.0,1,1,1.0,1.0,1
defect7_py,python,SLICE_BACKWARD,1.0,1,1,1.0,1.0,1
defect7_py,python,SLICE_FORWARD,1.0,1,1,1.0,1.0,1
defect7_py,python,SLICE_UNION,1.0,1,1,1.0,1.0,1
defect8_py,python,CODE_ONLY,1.0,1,1,1.0,0.0,1
defect8_py,python,SLICE_NAIVE,1.0,1,1,1.0,0.667,1
defect8_py,python,SLICE_BACKWARD,1.0,1,1,1.0,0.0,1
defect8_py,python,SLICE_FORWARD,1.0,1,1,1.0,0.0,1
defect8_py,python,SLICE_UNION,1.0,1,1,1.0,1.0,1
