Level,Passed,Failed,Total,Pass_Rate
CODE,6,10,16,0.375
ERROR,11,5,16,0.688
TEST,15,1,16,0.938
DOCSTRING,10,6,16,0.625
SLICE_BLOCK,7,9,16,0.438
SLICE_BACKWARD,7,9,16,0.438
SLICE_FORWARD,6,10,16,0.375
SLICE_UNION,5,11,16,0.312
CODE_ERROR,12,4,16,0.75
CODE_TEST,13,3,16,0.812
CODE_DOCSTRING,8,8,16,0.5
CODE_SLICE_BLOCK,9,7,16,0.562
CODE_SLICE_BACKWARD,8,8,16,0.5
CODE_SLICE_FORWARD,8,8,16,0.5
CODE_SLICE_UNION,8,8,16,0.5
ERROR_TEST,13,3,16,0.812
ERROR_DOCSTRING,9,7,16,0.562
ERROR_SLICE_BLOCK,10,6,16,0.625
ERROR_SLICE_BACKWARD,11,5,16,0.688
ERROR_SLICE_FORWARD,9,7,16,0.562
ERROR_SLICE_UNION,12,4,16,0.75
TEST_DOCSTRING,13,3,16,0.812
TEST_SLICE_BLOCK,12,4,16,0.75
TEST_SLICE_BACKWARD,12,4,16,0.75
TEST_SLICE_FORWARD,14,2,16,0.875
TEST_SLICE_UNION,13,3,16,0.812
DOCSTRING_SLICE_BLOCK,8,8,16,0.5
DOCSTRING_SLICE_BACKWARD,5,11,16,0.312
DOCSTRING_SLICE_FORWARD,7,9,16,0.438
DOCSTRING_SLICE_UNION,6,10,16,0.375
SLICE_BLOCK_SLICE_BACKWARD,7,9,16,0.438
SLICE_BLOCK_SLICE_FORWARD,6,10,16,0.375
SLICE_BLOCK_SLICE_UNION,5,11,16,0.312
SLICE_BACKWARD_SLICE_FORWARD,5,11,16,0.312
SLICE_BACKWARD_SLICE_UNION,6,10,16,0.375
SLICE_FORWARD_SLICE_UNION,4,12,16,0.25
BASELINE,12,4,16,0.75
