Levels,Criterion,Mean,Std
CODE_ERROR_TEST,C1_Readability,0.562,0.512
CODE_ERROR_TEST,C2_Problem_Identification,1.0,0.0
CODE_ERROR_TEST,C3_Explanation_Clarity,1.0,0.0
CODE_ERROR_TEST,C4_Actionability,0.875,0.342
CODE_ERROR_TEST,C5_Contextual_Adequacy,0.375,0.5
CODE_ERROR_TEST,C6_Brevity,0.812,0.403
CODE_ERROR_DOCSTRING,C1_Readability,0.688,0.479
CODE_ERROR_DOCSTRING,C2_Problem_Identification,1.0,0.0
CODE_ERROR_DOCSTRING,C3_Explanation_Clarity,1.0,0.0
CODE_ERROR_DOCSTRING,C4_Actionability,0.938,0.25
CODE_ERROR_DOCSTRING,C5_Contextual_Adequacy,0.25,0.447
CODE_ERROR_DOCSTRING,C6_Brevity,1.0,0.0
CODE_ERROR_SLICE_BLOCK,C1_Readability,0.75,0.447
CODE_ERROR_SLICE_BLOCK,C2_Problem_Identification,1.0,0.0
CODE_ERROR_SLICE_BLOCK,C3_Explanation_Clarity,1.0,0.0
CODE_ERROR_SLICE_BLOCK,C4_Actionability,0.875,0.342
CODE_ERROR_SLICE_BLOCK,C5_Contextual_Adequacy,0.5,0.516
CODE_ERROR_SLICE_BLOCK,C6_Brevity,0.812,0.403
CODE_ERROR_SLICE_BACKWARD,C1_Readability,0.875,0.342
CODE_ERROR_SLICE_BACKWARD,C2_Problem_Identification,1.0,0.0
CODE_ERROR_SLICE_BACKWARD,C3_Explanation_Clarity,1.0,0.0
CODE_ERROR_SLICE_BACKWARD,C4_Actionability,0.875,0.342
CODE_ERROR_SLICE_BACKWARD,C5_Contextual_Adequacy,0.625,0.5
CODE_ERROR_SLICE_BACKWARD,C6_Brevity,0.75,0.447
CODE_ERROR_SLICE_FORWARD,C1_Readability,0.688,0.479
CODE_ERROR_SLICE_FORWARD,C2_Problem_Identification,1.0,0.0
CODE_ERROR_SLICE_FORWARD,C3_Explanation_Clarity,1.0,0.0
CODE_ERROR_SLICE_FORWARD,C4_Actionability,0.938,0.25
CODE_ERROR_SLICE_FORWARD,C5_Contextual_Adequacy,0.438,0.512
CODE_ERROR_SLICE_FORWARD,C6_Brevity,0.812,0.403
CODE_ERROR_SLICE_UNION,C1_Readability,0.625,0.5
CODE_ERROR_SLICE_UNION,C2_Problem_Identification,1.0,0.0
CODE_ERROR_SLICE_UNION,C3_Explanation_Clarity,1.0,0.0
CODE_ERROR_SLICE_UNION,C4_Actionability,0.938,0.25
CODE_ERROR_SLICE_UNION,C5_Contextual_Adequacy,0.75,0.447
CODE_ERROR_SLICE_UNION,C6_Brevity,0.688,0.479
CODE_TEST_DOCSTRING,C1_Readability,0.75,0.447
CODE_TEST_DOCSTRING,C2_Problem_Identification,0.938,0.25
CODE_TEST_DOCSTRING,C3_Explanation_Clarity,1.0,0.0
CODE_TEST_DOCSTRING,C4_Actionability,0.938,0.25
CODE_TEST_DOCSTRING,C5_Contextual_Adequacy,0.375,0.5
CODE_TEST_DOCSTRING,C6_Brevity,1.0,0.0
CODE_TEST_SLICE_BLOCK,C1_Readability,0.625,0.5
CODE_TEST_SLICE_BLOCK,C2_Problem_Identification,1.0,0.0
CODE_TEST_SLICE_BLOCK,C3_Explanation_Clarity,1.0,0.0
CODE_TEST_SLICE_BLOCK,C4_Actionability,0.875,0.342
CODE_TEST_SLICE_BLOCK,C5_Contextual_Adequacy,0.5,0.516
CODE_TEST_SLICE_BLOCK,C6_Brevity,0.938,0.25
CODE_TEST_SLICE_BACKWARD,C1_Readability,0.938,0.25
CODE_TEST_SLICE_BACKWARD,C2_Problem_Identification,0.938,0.25
CODE_TEST_SLICE_BACKWARD,C3_Explanation_Clarity,0.938,0.25
CODE_TEST_SLICE_BACKWARD,C4_Actionability,0.875,0.342
CODE_TEST_SLICE_BACKWARD,C5_Contextual_Adequacy,0.562,0.512
CODE_TEST_SLICE_BACKWARD,C6_Brevity,0.812,0.403
CODE_TEST_SLICE_FORWARD,C1_Readability,0.75,0.447
CODE_TEST_SLICE_FORWARD,C2_Problem_Identification,0.938,0.25
CODE_TEST_SLICE_FORWARD,C3_Explanation_Clarity,1.0,0.0
CODE_TEST_SLICE_FORWARD,C4_Actionability,0.875,0.342
CODE_TEST_SLICE_FORWARD,C5_Contextual_Adequacy,0.375,0.5
CODE_TEST_SLICE_FORWARD,C6_Brevity,0.875,0.342
CODE_TEST_SLICE_UNION,C1_Readability,0.812,0.403
CODE_TEST_SLICE_UNION,C2_Problem_Identification,1.0,0.0
CODE_TEST_SLICE_UNION,C3_Explanation_Clarity,1.0,0.0
CODE_TEST_SLICE_UNION,C4_Actionability,0.938,0.25
CODE_TEST_SLICE_UNION,C5_Contextual_Adequacy,0.688,0.479
CODE_TEST_SLICE_UNION,C6_Brevity,0.875,0.342
CODE_DOCSTRING_SLICE_BLOCK,C1_Readability,0.875,0.342
CODE_DOCSTRING_SLICE_BLOCK,C2_Problem_Identification,0.75,0.447
CODE_DOCSTRING_SLICE_BLOCK,C3_Explanation_Clarity,0.75,0.447
CODE_DOCSTRING_SLICE_BLOCK,C4_Actionability,1.0,0.0
CODE_DOCSTRING_SLICE_BLOCK,C5_Contextual_Adequacy,0.562,0.512
CODE_DOCSTRING_SLICE_BLOCK,C6_Brevity,0.688,0.479
CODE_DOCSTRING_SLICE_BACKWARD,C1_Readability,0.812,0.403
CODE_DOCSTRING_SLICE_BACKWARD,C2_Problem_Identification,0.75,0.447
CODE_DOCSTRING_SLICE_BACKWARD,C3_Explanation_Clarity,0.812,0.403
CODE_DOCSTRING_SLICE_BACKWARD,C4_Actionability,1.0,0.0
CODE_DOCSTRING_SLICE_BACKWARD,C5_Contextual_Adequacy,0.562,0.512
CODE_DOCSTRING_SLICE_BACKWARD,C6_Brevity,0.812,0.403
CODE_DOCSTRING_SLICE_FORWARD,C1_Readability,0.875,0.342
CODE_DOCSTRING_SLICE_FORWARD,C2_Problem_Identification,0.812,0.403
CODE_DOCSTRING_SLICE_FORWARD,C3_Explanation_Clarity,0.812,0.403
CODE_DOCSTRING_SLICE_FORWARD,C4_Actionability,1.0,0.0
CODE_DOCSTRING_SLICE_FORWARD,C5_Contextual_Adequacy,0.625,0.5
CODE_DOCSTRING_SLICE_FORWARD,C6_Brevity,0.75,0.447
CODE_DOCSTRING_SLICE_UNION,C1_Readability,0.812,0.403
CODE_DOCSTRING_SLICE_UNION,C2_Problem_Identification,0.75,0.447
CODE_DOCSTRING_SLICE_UNION,C3_Explanation_Clarity,0.812,0.403
CODE_DOCSTRING_SLICE_UNION,C4_Actionability,1.0,0.0
CODE_DOCSTRING_SLICE_UNION,C5_Contextual_Adequacy,0.812,0.403
CODE_DOCSTRING_SLICE_UNION,C6_Brevity,0.688,0.479
CODE_SLICE_BLOCK_SLICE_BACKWARD,C1_Readability,0.688,0.479
CODE_SLICE_BLOCK_SLICE_BACKWARD,C2_Problem_Identification,0.812,0.403
CODE_SLICE_BLOCK_SLICE_BACKWARD,C3_Explanation_Clarity,0.875,0.342
CODE_SLICE_BLOCK_SLICE_BACKWARD,C4_Actionability,0.938,0.25
CODE_SLICE_BLOCK_SLICE_BACKWARD,C5_Contextual_Adequacy,0.75,0.447
CODE_SLICE_BLOCK_SLICE_BACKWARD,C6_Brevity,0.875,0.342
CODE_SLICE_BLOCK_SLICE_FORWARD,C1_Readability,0.75,0.447
CODE_SLICE_BLOCK_SLICE_FORWARD,C2_Problem_Identification,0.75,0.447
CODE_SLICE_BLOCK_SLICE_FORWARD,C3_Explanation_Clarity,0.875,0.342
CODE_SLICE_BLOCK_SLICE_FORWARD,C4_Actionability,0.938,0.25
CODE_SLICE_BLOCK_SLICE_FORWARD,C5_Contextual_Adequacy,0.75,0.447
CODE_SLICE_BLOCK_SLICE_FORWARD,C6_Brevity,0.938,0.25
CODE_SLICE_BLOCK_SLICE_UNION,C1_Readability,0.688,0.479
CODE_SLICE_BLOCK_SLICE_UNION,C2_Problem_Identification,0.625,0.5
CODE_SLICE_BLOCK_SLICE_UNION,C3_Explanation_Clarity,0.875,0.342
CODE_SLICE_BLOCK_SLICE_UNION,C4_Actionability,0.875,0.342
CODE_SLICE_BLOCK_SLICE_UNION,C5_Contextual_Adequacy,0.812,0.403
CODE_SLICE_BLOCK_SLICE_UNION,C6_Brevity,0.75,0.447
CODE_SLICE_BACKWARD_SLICE_FORWARD,C1_Readability,0.812,0.403
CODE_SLICE_BACKWARD_SLICE_FORWARD,C2_Problem_Identification,0.625,0.5
CODE_SLICE_BACKWARD_SLICE_FORWARD,C3_Explanation_Clarity,0.75,0.447
CODE_SLICE_BACKWARD_SLICE_FORWARD,C4_Actionability,1.0,0.0
CODE_SLICE_BACKWARD_SLICE_FORWARD,C5_Contextual_Adequacy,0.75,0.447
CODE_SLICE_BACKWARD_SLICE_FORWARD,C6_Brevity,0.688,0.479
CODE_SLICE_BACKWARD_SLICE_UNION,C1_Readability,0.812,0.403
CODE_SLICE_BACKWARD_SLICE_UNION,C2_Problem_Identification,0.625,0.5
CODE_SLICE_BACKWARD_SLICE_UNION,C3_Explanation_Clarity,0.625,0.5
CODE_SLICE_BACKWARD_SLICE_UNION,C4_Actionability,1.0,0.0
CODE_SLICE_BACKWARD_SLICE_UNION,C5_Contextual_Adequacy,0.875,0.342
CODE_SLICE_BACKWARD_SLICE_UNION,C6_Brevity,0.812,0.403
CODE_SLICE_FORWARD_SLICE_UNION,C1_Readability,0.812,0.403
CODE_SLICE_FORWARD_SLICE_UNION,C2_Problem_Identification,0.625,0.5
CODE_SLICE_FORWARD_SLICE_UNION,C3_Explanation_Clarity,0.75,0.447
CODE_SLICE_FORWARD_SLICE_UNION,C4_Actionability,0.938,0.25
CODE_SLICE_FORWARD_SLICE_UNION,C5_Contextual_Adequacy,0.875,0.342
CODE_SLICE_FORWARD_SLICE_UNION,C6_Brevity,0.688,0.479
ERROR_TEST_DOCSTRING,C1_Readability,0.812,0.403
ERROR_TEST_DOCSTRING,C2_Problem_Identification,0.938,0.25
ERROR_TEST_DOCSTRING,C3_Explanation_Clarity,1.0,0.0
ERROR_TEST_DOCSTRING,C4_Actionability,1.0,0.0
ERROR_TEST_DOCSTRING,C5_Contextual_Adequacy,0.562,0.512
ERROR_TEST_DOCSTRING,C6_Brevity,0.875,0.342
ERROR_TEST_SLICE_BLOCK,C1_Readability,0.875,0.342
ERROR_TEST_SLICE_BLOCK,C2_Problem_Identification,0.75,0.447
ERROR_TEST_SLICE_BLOCK,C3_Explanation_Clarity,0.938,0.25
ERROR_TEST_SLICE_BLOCK,C4_Actionability,0.938,0.25
ERROR_TEST_SLICE_BLOCK,C5_Contextual_Adequacy,0.562,0.512
ERROR_TEST_SLICE_BLOCK,C6_Brevity,0.812,0.403
ERROR_TEST_SLICE_BACKWARD,C1_Readability,0.938,0.25
ERROR_TEST_SLICE_BACKWARD,C2_Problem_Identification,0.875,0.342
ERROR_TEST_SLICE_BACKWARD,C3_Explanation_Clarity,0.938,0.25
ERROR_TEST_SLICE_BACKWARD,C4_Actionability,1.0,0.0
ERROR_TEST_SLICE_BACKWARD,C5_Contextual_Adequacy,0.688,0.479
ERROR_TEST_SLICE_BACKWARD,C6_Brevity,1.0,0.0
ERROR_TEST_SLICE_FORWARD,C1_Readability,0.875,0.342
ERROR_TEST_SLICE_FORWARD,C2_Problem_Identification,0.75,0.447
ERROR_TEST_SLICE_FORWARD,C3_Explanation_Clarity,0.812,0.403
ERROR_TEST_SLICE_FORWARD,C4_Actionability,0.938,0.25
ERROR_TEST_SLICE_FORWARD,C5_Contextual_Adequacy,0.812,0.403
ERROR_TEST_SLICE_FORWARD,C6_Brevity,0.938,0.25
ERROR_TEST_SLICE_UNION,C1_Readability,0.875,0.342
ERROR_TEST_SLICE_UNION,C2_Problem_Identification,0.875,0.342
ERROR_TEST_SLICE_UNION,C3_Explanation_Clarity,0.875,0.342
ERROR_TEST_SLICE_UNION,C4_Actionability,1.0,0.0
ERROR_TEST_SLICE_UNION,C5_Contextual_Adequacy,1.0,0.0
ERROR_TEST_SLICE_UNION,C6_Brevity,0.938,0.25
ERROR_DOCSTRING_SLICE_BLOCK,C1_Readability,0.75,0.447
ERROR_DOCSTRING_SLICE_BLOCK,C2_Problem_Identification,0.562,0.512
ERROR_DOCSTRING_SLICE_BLOCK,C3_Explanation_Clarity,0.625,0.5
ERROR_DOCSTRING_SLICE_BLOCK,C4_Actionability,1.0,0.0
ERROR_DOCSTRING_SLICE_BLOCK,C5_Contextual_Adequacy,0.562,0.512
ERROR_DOCSTRING_SLICE_BLOCK,C6_Brevity,0.875,0.342
ERROR_DOCSTRING_SLICE_BACKWARD,C1_Readability,0.812,0.403
ERROR_DOCSTRING_SLICE_BACKWARD,C2_Problem_Identification,0.625,0.5
ERROR_DOCSTRING_SLICE_BACKWARD,C3_Explanation_Clarity,0.75,0.447
ERROR_DOCSTRING_SLICE_BACKWARD,C4_Actionability,1.0,0.0
ERROR_DOCSTRING_SLICE_BACKWARD,C5_Contextual_Adequacy,0.75,0.447
ERROR_DOCSTRING_SLICE_BACKWARD,C6_Brevity,0.875,0.342
ERROR_DOCSTRING_SLICE_FORWARD,C1_Readability,0.75,0.447
ERROR_DOCSTRING_SLICE_FORWARD,C2_Problem_Identification,0.438,0.512
ERROR_DOCSTRING_SLICE_FORWARD,C3_Explanation_Clarity,0.625,0.5
ERROR_DOCSTRING_SLICE_FORWARD,C4_Actionability,0.875,0.342
