Defect,Levels,C1_Readability,C2_Problem_Identification,C3_Explanation_Clarity,C4_Actionability,C5_Contextual_Adequacy,C6_Brevity
defect1_py,CODE_ERROR_TEST,0.0,1.0,1.0,1.0,0.0,0.5
defect1_py,CODE_ERROR_DOCSTRING,0.0,1.0,1.0,1.0,0.0,1.0
defect1_py,CODE_ERROR_SLICE_BLOCK,0.0,1.0,1.0,0.5,0.0,1.0
defect1_py,CODE_ERROR_SLICE_BACKWARD,0.0,1.0,1.0,0.5,0.0,1.0
defect1_py,CODE_ERROR_SLICE_FORWARD,0.0,1.0,1.0,1.0,0.0,1.0
defect1_py,CODE_ERROR_SLICE_UNION,0.0,1.0,1.0,0.5,1.0,0.5
defect1_py,CODE_TEST_DOCSTRING,0.0,1.0,1.0,1.0,0.0,1.0
defect1_py,CODE_TEST_SLICE_BLOCK,0.0,1.0,1.0,0.5,0.0,1.0
defect1_py,CODE_TEST_SLICE_BACKWARD,0.5,1.0,1.0,0.5,0.0,0.5
defect1_py,CODE_TEST_SLICE_FORWARD,0.0,1.0,1.0,1.0,0.0,1.0
defect1_py,CODE_TEST_SLICE_UNION,0.0,1.0,1.0,1.0,0.5,0.5
defect1_py,CODE_DOCSTRING_SLICE_BLOCK,0.0,1.0,1.0,1.0,0.0,1.0
defect1_py,CODE_DOCSTRING_SLICE_BACKWARD,0.0,1.0,1.0,1.0,0.0,1.0
defect1_py,CODE_DOCSTRING_SLICE_FORWARD,0.0,1.0,1.0,1.0,1.0,1.0
defect1_py,CODE_DOCSTRING_SLICE_UNION,0.0,1.0,1.0,1.0,1.0,1.0
defect1_py,CODE_SLICE_BLOCK_SLICE_BACKWARD,0.0,1.0,1.0,1.0,0.5,0.5
defect1_py,CODE_SLICE_BLOCK_SLICE_FORWARD,0.0,1.0,1.0,1.0,1.0,1.0
defect1_py,CODE_SLICE_BLOCK_SLICE_UNION,0.0,0.0,1.0,1.0,1.0,1.0
defect1_py,CODE_SLICE_BACKWARD_SLICE_FORWARD,0.0,0.0,0.0,1.0,1.0,0.5
defect1_py,CODE_SLICE_BACKWARD_SLICE_UNION,0.0,0.0,0.0,1.0,0.5,1.0
defect1_py,CODE_SLICE_FORWARD_SLICE_UNION,0.0,0.0,0.0,1.0,1.0,1.0
defect1_py,ERROR_TEST_DOCSTRING,0.0,1.0,1.0,1.0,0.0,1.0
defect1_py,ERROR_TEST_SLICE_BLOCK,0.0,1.0,1.0,1.0,0.0,1.0
defect1_py,ERROR_TEST_SLICE_BACKWARD,0.5,1.0,1.0,1.0,0.0,1.0
defect1_py,ERROR_TEST_SLICE_FORWARD,0.5,1.0,1.0,1.0,0.5,1.0
defect1_py,ERROR_TEST_SLICE_UNION,0.0,1.0,1.0,1.0,1.0,0.5
defect1_py,ERROR_DOCSTRING_SLICE_BLOCK,0.0,1.0,1.0,1.0,0.5,1.0
defect1_py,ERROR_DOCSTRING_SLICE_BACKWARD,0.0,1.0,1.0,1.0,0.0,1.0
defect1_py,ERROR_DOCSTRING_SLICE_FORWARD,0.0,0.0,0.5,1.0,1.0,0.5
defect1_py,ERROR_DOCSTRING_SLICE_UNION,0.5,1.0,1.0,1.0,1.0,0.0
defect1_py,ERROR_SLICE_BLOCK_SLICE_BACKWARD,0.0,1.0,1.0,1.0,1.0,1.0
defect1_py,ERROR_SLICE_BLOCK_SLICE_FORWARD,0.5,1.0,1.0,1.0,1.0,1.0
defect1_py,ERROR_SLICE_BLOCK_SLICE_UNION,1.0,1.0,1.0,1.0,1.0,1.0
defect1_py,ERROR_SLICE_BACKWARD_SLICE_FORWARD,0.5,1.0,1.0,1.0,1.0,1.0
defect1_py,ERROR_SLICE_BACKWARD_SLICE_UNION,0.5,1.0,1.0,1.0,1.0,1.0
defect1_py,ERROR_SLICE_FORWARD_SLICE_UNION,0.0,1.0,1.0,1.0,1.0,1.0
defect1_py,TEST_DOCSTRING_SLICE_BLOCK,0.5,1.0,1.0,1.0,0.5,1.0
