Level,Passed,Failed,Total,Pass_Rate,Minimal_Fix_Rate,Avg_Line_Deviation,Avg_Jaccard_Similarity,Avg_Expected_Changed_Lines,Avg_Actual_Changed_Lines,Avg_Baseline_Volume,Std_Baseline_Volume,Avg_Baseline_Effort,Std_Baseline_Effort,Avg_Fix_Volume,Std_Fix_Volume,Avg_Fix_Effort,Std_Fix_Effort,Avg_Delta_Volume,Std_Delta_Volume,Avg_Delta_Effort,Std_Delta_Effort,Block_Expected_Coverage,Block_Actual_Coverage,Backward_Expected_Coverage,Backward_Actual_Coverage,Forward_Expected_Coverage,Forward_Actual_Coverage,Union_Expected_Coverage,Union_Actual_Coverage
CODE_ERROR_TEST,29,7,36,0.806,0.138,8.28,0.727,9.42,12.44,303.84,330.9,2253.55,2978.42,264.95,223.12,1826.5,1948.02,-38.48,308.25,-442.61,2862.43,,,,,,,,
CODE_ERROR_DOCSTRING,25,11,36,0.694,0.2,10.0,0.684,9.42,15.76,303.84,330.9,2253.55,2978.42,244.5,174.45,1610.17,1440.48,-39.82,320.21,-462.92,2997.33,,,,,,,,
CODE_ERROR_SLICE_BLOCK,25,11,36,0.694,0.16,7.48,0.76,9.42,12.14,303.84,330.9,2253.55,2978.42,260.13,233.99,1779.53,2043.17,-46.23,317.71,-544.99,2949.23,0.278,0.292,,,,,,
CODE_ERROR_SLICE_BACKWARD,26,10,36,0.722,0.154,9.81,0.689,9.42,13.56,303.84,330.9,2253.55,2978.42,241.63,210.6,1577.2,1802.41,-51.75,316.17,-582.7,2925.19,,,0.444,0.28,,,,
CODE_ERROR_SLICE_FORWARD,22,14,36,0.611,0.136,12.45,0.665,9.42,14.74,303.84,330.9,2253.55,2978.42,241.61,192.58,1616.53,1693.69,-21.53,269.55,-294.65,2497.74,,,,,0.069,0.139,,
CODE_ERROR_SLICE_UNION,26,10,36,0.722,0.192,8.12,0.701,9.42,16.77,303.84,330.9,2253.55,2978.42,205.01,144.37,1210.16,1019.75,-31.58,280.08,-396.18,2591.97,,,,,,,0.514,0.336
CODE_TEST_DOCSTRING,30,6,36,0.833,0.2,7.17,0.742,9.42,13.58,303.84,330.9,2253.55,2978.42,278.73,228.86,1924.67,2013.71,-11.6,266.21,-193.27,2484.83,,,,,,,,
CODE_TEST_SLICE_BLOCK,27,9,36,0.75,0.148,7.52,0.716,9.42,13.85,303.84,330.9,2253.55,2978.42,255.55,207.52,1750.74,1801.27,-7.59,271.22,-160.44,2528.39,0.278,0.37,,,,,,
CODE_TEST_SLICE_BACKWARD,23,13,36,0.639,0.304,6.39,0.774,9.42,16.76,303.84,330.9,2253.55,2978.42,227.51,185.17,1517.88,1544.59,-34.41,281.95,-371.44,2635.04,,,0.444,0.311,,,,
CODE_TEST_SLICE_FORWARD,21,15,36,0.583,0.286,9.0,0.731,9.42,14.71,303.84,330.9,2253.55,2978.42,251.73,213.85,1683.1,1842.85,-28.44,275.57,-354.98,2551.12,,,,,0.069,0.166,,
