Level,Passed,Failed,Total,Pass_Rate,Minimal_Fix_Rate,Avg_Line_Deviation,Avg_Jaccard_Similarity,Avg_Normalized_Levenshtein,Avg_Expected_Changed_Lines,Avg_Actual_Changed_Lines,Avg_Baseline_Volume,Std_Baseline_Volume,Avg_Baseline_Effort,Std_Baseline_Effort,Avg_Fix_Volume,Std_Fix_Volume,Avg_Fix_Effort,Std_Fix_Effort,Avg_Delta_Volume,Std_Delta_Volume,Avg_Delta_Effort,Std_Delta_Effort,Block_Expected_Coverage,Block_Actual_Coverage,Backward_Expected_Coverage,Backward_Actual_Coverage,Forward_Expected_Coverage,Forward_Actual_Coverage,Union_Expected_Coverage,Union_Actual_Coverage
CODE_ERROR_TEST,26,10,36,0.722,0.346,16.15,0.779,0.169,9.42,2.56,303.84,330.9,2253.55,2978.42,336.08,353.43,2577.92,3194.85,32.25,49.62,324.36,691.81,,,,,,,,
CODE_ERROR_DOCSTRING,22,14,36,0.611,0.318,17.05,0.793,0.165,9.42,3.47,303.84,330.9,2253.55,2978.42,317.55,338.61,2315.88,3029.61,13.71,41.75,62.33,417.67,,,,,,,,
CODE_ERROR_SLICE_BLOCK,23,13,36,0.639,0.435,15.87,0.819,0.15,9.42,5.09,303.84,330.9,2253.55,2978.42,294.91,336.17,2152.72,3008.62,-8.93,129.49,-100.84,1130.39,0.278,0.159,,,,,,
CODE_ERROR_SLICE_BACKWARD,24,12,36,0.667,0.375,13.71,0.818,0.143,9.42,3.36,303.84,330.9,2253.55,2978.42,315.43,352.92,2315.16,3170.02,11.6,42.52,61.61,361.75,,,0.444,0.245,,,,
CODE_ERROR_SLICE_FORWARD,24,12,36,0.667,0.417,15.0,0.815,0.148,9.42,3.39,303.84,330.9,2253.55,2978.42,315.79,347.5,2315.67,3139.03,11.95,30.8,62.12,344.54,,,,,0.069,0.084,,
CODE_ERROR_SLICE_UNION,25,11,36,0.694,0.4,17.84,0.769,0.181,9.42,3.77,303.84,330.9,2253.55,2978.42,311.51,347.23,2255.4,3093.95,7.67,33.96,1.85,374.71,,,,,,,0.514,0.383
CODE_TEST_DOCSTRING,23,13,36,0.639,0.348,17.13,0.793,0.165,9.42,3.03,303.84,330.9,2253.55,2978.42,319.31,340.39,2380.22,3107.89,15.48,27.91,126.67,279.18,,,,,,,,
CODE_TEST_SLICE_BLOCK,22,14,36,0.611,0.409,11.91,0.841,0.12,9.42,2.75,303.84,330.9,2253.55,2978.42,321.98,342.26,2394.93,3084.73,18.15,42.28,141.37,385.39,0.278,0.218,,,,,,
CODE_TEST_SLICE_BACKWARD,22,14,36,0.611,0.409,5.05,0.917,0.052,9.42,3.17,303.84,330.9,2253.55,2978.42,321.94,341.78,2431.11,3073.58,11.33,32.41,118.24,362.32,,,0.444,0.338,,,,
CODE_TEST_SLICE_FORWARD,20,16,36,0.556,0.45,3.0,0.916,0.053,9.42,5.25,303.84,330.9,2253.55,2978.42,280.56,308.12,2042.09,2735.69,-23.27,190.49,-211.47,1702.97,,,,,0.069,0.099,,
CODE_TEST_SLICE_UNION,19,17,36,0.528,0.474,3.0,0.89,0.083,9.42,4.92,303.84,330.9,2253.55,2978.42,318.92,332.05,2463.36,3099.49,27.92,112.63,332.05,1385.82,,,,,,,0.514,0.316
CODE_DOCSTRING_SLICE_BLOCK,16,20,36,0.444,0.5,3.69,0.851,0.111,9.42,3.34,303.84,330.9,2253.55,2978.42,315.66,345.47,2359.75,3092.5,8.64,35.29,70.38,304.82,0.278,0.261,,,,,,
CODE_DOCSTRING_SLICE_BACKWARD,16,20,36,0.444,0.562,4.25,0.88,0.094,9.42,3.78,303.84,330.9,2253.55,2978.42,330.15,340.54,2476.75,3117.94,26.31,74.24,223.2,857.31,,,0.444,0.31,,,,
CODE_DOCSTRING_SLICE_FORWARD,15,21,36,0.417,0.6,9.13,0.836,0.13,9.42,4.75,303.84,330.9,2253.55,2978.42,299.89,339.85,2173.7,3020.29,-3.95,101.34,-79.86,963.43,,,,,0.069,0.125,,
CODE_DOCSTRING_SLICE_UNION,16,20,36,0.444,0.5,7.38,0.891,0.083,9.42,3.78,303.84,330.9,2253.55,2978.42,313.44,347.87,2334.76,3151.79,9.89,64.13,83.18,578.4,,,,,,,0.514,0.427
CODE_SLICE_BLOCK_SLICE_BACKWARD,17,19,36,0.472,0.529,8.18,0.863,0.117,9.42,4.62,303.84,330.9,2253.55,2978.42,329.39,348.37,2578.56,3238.96,19.22,122.85,268.82,1383.78,0.278,0.27,0.444,0.286,,,,
CODE_SLICE_BLOCK_SLICE_FORWARD,15,21,36,0.417,0.533,1.47,0.951,0.032,9.42,3.03,303.84,330.9,2253.55,2978.42,320.56,343.6,2406.61,3160.15,16.72,40.76,153.06,463.12,0.278,0.214,,,0.069,0.161,,
CODE_SLICE_BLOCK_SLICE_UNION,15,21,36,0.417,0.6,7.33,0.915,0.069,9.42,2.85,303.84,330.9,2253.55,2978.42,317.9,346.71,2383.95,3106.28,14.07,46.82,130.39,398.43,0.278,0.23,,,,,0.514,0.437
CODE_SLICE_BACKWARD_SLICE_FORWARD,17,19,36,0.472,0.529,18.76,0.796,0.174,9.42,2.57,303.84,330.9,2253.55,2978.42,317.61,337.18,2333.65,3049.78,13.78,24.5,80.1,241.53,,,0.444,0.334,0.069,0.087,,
CODE_SLICE_BACKWARD_SLICE_UNION,19,17,36,0.528,0.579,11.26,0.871,0.106,9.42,3.09,303.84,330.9,2253.55,2978.42,325.0,346.92,2424.94,3107.13,21.16,47.52,171.39,412.86,,,0.444,0.324,,,0.514,0.4
CODE_SLICE_FORWARD_SLICE_UNION,17,19,36,0.472,0.529,12.24,0.868,0.11,9.42,2.82,303.84,330.9,2253.55,2978.42,302.02,344.6,2229.72,3098.48,-1.82,58.12,-23.84,371.32,,,,,0.069,0.168,0.514,0.44
ERROR_TEST_DOCSTRING,24,12,36,0.667,0.167,19.83,0.718,0.21,9.42,5.53,303.84,330.9,2253.55,2978.42,329.06,338.35,2494.37,3205.12,25.63,104.33,225.27,1222.9,,,,,,,,
ERROR_TEST_SLICE_BLOCK,25,11,36,0.694,0.36,15.4,0.784,0.17,9.42,3.27,303.84,330.9,2253.55,2978.42,325.77,343.75,2528.91,3180.88,21.93,101.05,275.36,1218.23,0.278,0.383,,,,,,
ERROR_TEST_SLICE_BACKWARD,25,11,36,0.694,0.36,15.68,0.788,0.171,9.42,3.51,303.84,330.9,2253.55,2978.42,321.93,343.14,2303.89,3092.97,18.09,34.78,50.34,310.7,,,0.444,0.313,,,,
ERROR_TEST_SLICE_FORWARD,28,8,36,0.778,0.357,14.61,0.8,0.154,9.42,3.21,303.84,330.9,2253.55,2978.42,331.89,345.44,2506.95,3136.12,28.05,48.92,253.39,471.46,,,,,0.069,0.139,,
ERROR_TEST_SLICE_UNION,24,12,36,0.667,0.25,17.0,0.763,0.188,9.42,4.29,303.84,330.9,2253.55,2978.42,319.06,356.8,2495.71,3289.09,15.23,78.82,242.16,1003.45,,,,,,,0.514,0.383
ERROR_DOCSTRING_SLICE_BLOCK,18,18,36,0.5,0.278,23.5,0.701,0.249,9.42,6.06,303.84,330.9,2253.55,2978.42,308.26,350.71,2273.56,3128.46,4.42,39.9,20.01,257.74,0.278,0.25,,,,,,
ERROR_DOCSTRING_SLICE_BACKWARD,20,16,36,0.556,0.35,17.35,0.743,0.197,9.42,5.0,303.84,330.9,2253.55,2978.42,307.26,341.14,2281.63,3084.26,3.42,53.3,28.07,411.51,,,0.444,0.327,,,,
ERROR_DOCSTRING_SLICE_FORWARD,18,18,36,0.5,0.222,19.5,0.678,0.255,9.42,4.86,303.84,330.9,2253.55,2978.42,321.58,343.92,2413.04,3171.98,17.75,108.76,159.49,1276.56,,,,,0.069,0.133,,
ERROR_DOCSTRING_SLICE_UNION,17,19,36,0.472,0.294,26.59,0.647,0.277,9.42,5.66,303.84,330.9,2253.55,2978.42,314.52,342.64,2304.19,3117.1,10.68,53.93,50.63,598.84,,,,,,,0.514,0.497
ERROR_SLICE_BLOCK_SLICE_BACKWARD,20,16,36,0.556,0.35,21.55,0.698,0.243,9.42,5.91,303.84,330.9,2253.55,2978.42,303.32,345.63,2211.54,3112.7,-0.51,43.27,-42.02,452.67,0.278,0.239,0.444,0.326,,,,
ERROR_SLICE_BLOCK_SLICE_FORWARD,18,18,36,0.5,0.333,18.06,0.729,0.21,9.42,6.79,303.84,330.9,2253.55,2978.42,287.06,327.11,2053.47,2888.44,-3.94,52.55,-77.84,499.2,0.278,0.26,,,0.069,0.129,,
ERROR_SLICE_BLOCK_SLICE_UNION,20,16,36,0.556,0.35,25.25,0.703,0.233,9.42,6.29,303.84,330.9,2253.55,2978.42,296.1,353.29,2212.0,3173.12,-7.73,53.57,-41.55,432.73,0.278,0.215,,,,,0.514,0.339
ERROR_SLICE_BACKWARD_SLICE_FORWARD,20,16,36,0.556,0.45,18.0,0.787,0.171,9.42,4.31,303.84,330.9,2253.55,2978.42,323.28,350.37,2438.46,3152.86,16.25,42.93,149.09,456.37,,,0.444,0.293,0.069,0.099,,
ERROR_SLICE_BACKWARD_SLICE_UNION,23,13,36,0.639,0.391,16.65,0.784,0.176,9.42,3.51,303.84,330.9,2253.55,2978.42,309.26,348.65,2309.67,3130.71,5.42,42.29,56.11,332.19,,,0.444,0.275,,,0.514,0.349
ERROR_SLICE_FORWARD_SLICE_UNION,20,16,36,0.556,0.45,18.3,0.77,0.185,9.42,3.49,303.84,330.9,2253.55,2978.42,307.95,353.57,2267.19,3163.12,4.11,61.85,13.64,390.32,,,,,0.069,0.061,0.514,0.349
TEST_DOCSTRING_SLICE_BLOCK,26,10,36,0.722,0.308,14.77,0.795,0.158,9.42,3.89,303.84,330.9,2253.55,2978.42,323.16,347.59,2398.9,3143.59,15.94,42.55,126.95,269.09,0.278,0.218,,,,,,
TEST_DOCSTRING_SLICE_BACKWARD,25,11,36,0.694,0.36,15.72,0.795,0.165,9.42,4.83,303.84,330.9,2253.55,2978.42,323.81,334.82,2458.81,3065.73,19.97,104.04,205.26,1253.19,,,0.444,0.255,,,,
TEST_DOCSTRING_SLICE_FORWARD,23,13,36,0.639,0.391,17.57,0.798,0.162,9.42,3.43,303.84,330.9,2253.55,2978.42,330.2,342.84,2489.05,3137.02,26.36,67.98,235.5,719.89,,,,,0.069,0.127,,
TEST_DOCSTRING_SLICE_UNION,27,9,36,0.75,0.296,16.19,0.792,0.164,9.42,3.44,303.84,330.9,2253.55,2978.42,323.11,342.9,2404.0,3075.21,19.27,33.12,150.44,323.05,,,,,,,0.514,0.412
TEST_SLICE_BLOCK_SLICE_BACKWARD,23,13,36,0.639,0.304,17.0,0.764,0.176,9.42,3.03,303.84,330.9,2253.55,2978.42,326.05,345.35,2405.44,3084.33,22.21,44.02,151.89,300.37,0.278,0.284,0.444,0.321,,,,
TEST_SLICE_BLOCK_SLICE_FORWARD,22,14,36,0.611,0.364,16.68,0.757,0.18,9.42,4.29,303.84,330.9,2253.55,2978.42,310.91,339.52,2325.66,3089.86,19.91,34.75,194.35,505.75,0.278,0.159,,,0.069,0.123,,
TEST_SLICE_BLOCK_SLICE_UNION,26,10,36,0.722,0.308,16.65,0.77,0.175,9.42,3.74,303.84,330.9,2253.55,2978.42,332.1,341.62,2436.3,3077.29,28.26,62.86,182.75,499.52,0.278,0.196,,,,,0.514,0.356
TEST_SLICE_BACKWARD_SLICE_FORWARD,24,12,36,0.667,0.292,16.21,0.774,0.17,9.42,3.62,303.84,330.9,2253.55,2978.42,316.64,344.72,2343.2,3104.0,12.8,32.17,89.65,304.53,,,0.444,0.318,0.069,0.132,,
TEST_SLICE_BACKWARD_SLICE_UNION,25,11,36,0.694,0.24,14.64,0.77,0.166,9.42,6.83,303.84,330.9,2253.55,2978.42,313.23,331.7,2262.22,2980.13,22.23,66.16,130.9,525.79,,,0.444,0.302,,,0.514,0.388
TEST_SLICE_FORWARD_SLICE_UNION,24,12,36,0.667,0.375,13.92,0.813,0.143,9.42,3.88,303.84,330.9,2253.55,2978.42,316.73,341.82,2380.79,3060.81,12.89,29.21,127.23,282.14,,,,,0.069,0.15,0.514,0.405
DOCSTRING_SLICE_BLOCK_SLICE_BACKWARD,14,22,36,0.389,0.5,23.5,0.739,0.197,9.42,5.31,303.84,330.9,2253.55,2978.42,326.24,339.25,2454.72,3044.66,22.41,55.18,201.17,470.99,0.278,0.324,0.444,0.349,,,,
DOCSTRING_SLICE_BLOCK_SLICE_FORWARD,11,25,36,0.306,0.545,2.91,0.833,0.124,9.42,3.47,303.84,330.9,2253.55,2978.42,323.15,342.89,2417.87,3088.52,6.89,28.7,79.1,230.15,0.278,0.179,,,0.069,0.099,,
DOCSTRING_SLICE_BLOCK_SLICE_UNION,15,21,36,0.417,0.467,10.2,0.829,0.124,9.42,3.82,303.84,330.9,2253.55,2978.42,303.72,343.36,2248.19,3081.19,0.29,42.27,-20.91,384.25,0.278,0.274,,,,,0.514,0.464
DOCSTRING_SLICE_BACKWARD_SLICE_FORWARD,17,19,36,0.472,0.176,34.94,0.595,0.315,9.42,6.88,303.84,330.9,2253.55,2978.42,322.52,345.33,2375.65,3098.05,18.69,51.76,122.1,439.06,,,0.444,0.286,0.069,0.14,,
DOCSTRING_SLICE_BACKWARD_SLICE_UNION,12,24,36,0.333,0.417,4.33,0.859,0.097,9.42,4.53,303.84,330.9,2253.55,2978.42,310.83,333.34,2299.33,3010.71,6.99,22.43,45.78,227.85,,,0.444,0.323,,,0.514,0.41
DOCSTRING_SLICE_FORWARD_SLICE_UNION,15,21,36,0.417,0.267,9.73,0.817,0.124,9.42,3.27,303.84,330.9,2253.55,2978.42,327.32,364.37,2498.03,3251.26,23.48,95.39,244.47,946.35,,,,,0.069,0.118,0.514,0.353
SLICE_BLOCK_SLICE_BACKWARD_SLICE_FORWARD,12,24,36,0.333,0.417,9.0,0.843,0.112,9.42,7.38,303.84,330.9,2253.55,2978.42,284.72,317.83,2071.26,2811.13,4.44,48.01,39.59,271.16,0.278,0.344,0.444,0.318,0.069,0.224,,
SLICE_BLOCK_SLICE_BACKWARD_SLICE_UNION,11,25,36,0.306,0.727,17.64,0.822,0.155,9.42,5.41,303.84,330.9,2253.55,2978.42,289.19,335.7,2125.32,2975.42,-14.65,135.03,-128.23,1167.84,0.278,0.242,0.444,0.294,,,0.514,0.42
SLICE_BLOCK_SLICE_FORWARD_SLICE_UNION,14,22,36,0.389,0.429,15.29,0.766,0.178,9.42,3.69,303.84,330.9,2253.55,2978.42,309.04,341.3,2304.52,3043.07,5.2,56.11,50.96,430.1,0.278,0.309,,,0.069,0.225,0.514,0.416
SLICE_BACKWARD_SLICE_FORWARD_SLICE_UNION,12,24,36,0.333,0.583,15.33,0.832,0.13,9.42,4.83,303.84,330.9,2253.55,2978.42,306.62,340.18,2281.75,3057.83,2.79,47.17,28.2,391.56,,,0.444,0.222,0.069,0.131,0.514,0.325
BASELINE,23,13,36,0.639,0.348,17.0,0.767,0.177,9.42,2.86,303.84,330.9,2253.55,2978.42,326.45,342.73,2410.84,3086.02,22.61,36.06,157.29,282.99,0.278,0.249,0.444,0.387,0.069,0.077,0.514,0.437
