Level,Passed,Failed,Total,Pass_Rate,Minimal_Fix_Rate,Avg_Line_Deviation,Avg_Jaccard_Similarity,Avg_Normalized_Levenshtein,Avg_Expected_Changed_Lines,Avg_Actual_Changed_Lines,Avg_Baseline_Volume,Std_Baseline_Volume,Avg_Baseline_Effort,Std_Baseline_Effort,Avg_Fix_Volume,Std_Fix_Volume,Avg_Fix_Effort,Std_Fix_Effort,Avg_Delta_Volume,Std_Delta_Volume,Avg_Delta_Effort,Std_Delta_Effort,Block_Expected_Coverage,Block_Actual_Coverage,Backward_Expected_Coverage,Backward_Actual_Coverage,Forward_Expected_Coverage,Forward_Actual_Coverage,Union_Expected_Coverage,Union_Actual_Coverage
CODE_ERROR,24,12,36,0.667,0.417,14.21,0.811,0.154,9.42,3.56,303.84,330.9,2253.55,2978.42,317.89,351.47,2351.6,3152.98,14.06,48.72,98.05,399.03,,,,,,,,
CODE_TEST,24,12,36,0.667,0.375,9.46,0.848,0.111,9.42,3.53,303.84,330.9,2253.55,2978.42,292.34,322.31,2179.17,2971.86,12.07,51.97,147.5,574.15,,,,,,,,
CODE_DOCSTRING,14,22,36,0.389,0.571,8.29,0.9,0.083,9.42,3.0,303.84,330.9,2253.55,2978.42,311.27,339.69,2282.26,3080.68,7.43,33.16,28.71,365.61,,,,,,,,
CODE_SLICE_BLOCK,17,19,36,0.472,0.529,12.35,0.867,0.112,9.42,2.67,303.84,330.9,2253.55,2978.42,334.18,345.81,2553.96,3184.08,30.34,54.12,300.4,579.24,0.278,0.26,,,,,,
CODE_SLICE_BACKWARD,19,17,36,0.528,0.474,19.26,0.764,0.204,9.42,4.53,303.84,330.9,2253.55,2978.42,316.65,351.03,2342.76,3150.74,12.82,65.06,89.21,608.43,,,0.444,0.319,,,,
CODE_SLICE_FORWARD,13,23,36,0.361,0.692,2.0,0.932,0.038,9.42,5.94,303.84,330.9,2253.55,2978.42,304.96,348.7,2124.61,3014.35,1.13,190.64,-128.95,1208.79,,,,,0.069,0.135,,
CODE_SLICE_UNION,13,23,36,0.361,0.615,2.46,0.893,0.085,9.42,3.62,303.84,330.9,2253.55,2978.42,315.73,349.64,2365.07,3212.6,3.21,43.65,47.13,409.38,,,,,,,0.514,0.446
ERROR_TEST,22,14,36,0.611,0.364,11.5,0.834,0.127,9.42,4.24,303.84,330.9,2253.55,2978.42,316.3,337.43,2374.06,3151.78,12.47,40.57,120.5,501.99,,,,,,,,
ERROR_DOCSTRING,13,23,36,0.361,0.462,12.23,0.756,0.206,9.42,4.9,303.84,330.9,2253.55,2978.42,275.95,304.91,1955.09,2741.81,-4.33,48.15,-76.59,357.7,,,,,,,,
ERROR_SLICE_BLOCK,21,15,36,0.583,0.429,20.14,0.693,0.256,9.42,5.76,303.84,330.9,2253.55,2978.42,302.05,354.93,2248.42,3166.18,-1.79,56.89,-5.14,456.36,0.278,0.221,,,,,,
ERROR_SLICE_BACKWARD,23,13,36,0.639,0.261,22.43,0.677,0.265,9.42,6.57,303.84,330.9,2253.55,2978.42,301.79,354.73,2270.31,3187.84,-2.04,75.49,16.76,606.47,,,0.444,0.28,,,,
ERROR_SLICE_FORWARD,17,19,36,0.472,0.353,20.41,0.718,0.226,9.42,4.45,303.84,330.9,2253.55,2978.42,295.21,349.58,2194.63,3139.78,-8.63,53.05,-58.92,392.17,,,,,0.069,0.179,,
ERROR_SLICE_UNION,22,14,36,0.611,0.318,27.86,0.652,0.285,9.42,8.21,303.84,330.9,2253.55,2978.42,313.67,356.77,2404.7,3196.59,9.83,83.46,151.15,727.19,,,,,,,0.514,0.355
TEST_DOCSTRING,25,11,36,0.694,0.24,15.6,0.763,0.173,9.42,3.24,303.84,330.9,2253.55,2978.42,314.09,351.66,2393.66,3184.41,10.25,64.51,140.11,471.49,,,,,,,,
TEST_SLICE_BLOCK,24,12,36,0.667,0.375,14.0,0.816,0.147,9.42,3.52,303.84,330.9,2253.55,2978.42,309.18,348.84,2261.29,3145.94,5.34,62.59,7.73,460.84,0.278,0.272,,,,,,
TEST_SLICE_BACKWARD,24,12,36,0.667,0.208,15.21,0.767,0.174,9.42,4.45,303.84,330.9,2253.55,2978.42,308.36,338.77,2271.84,2996.49,4.52,41.7,18.29,362.12,,,0.444,0.326,,,,
TEST_SLICE_FORWARD,22,14,36,0.611,0.318,21.18,0.755,0.194,9.42,4.59,303.84,330.9,2253.55,2978.42,327.71,351.16,2547.69,3300.64,20.49,105.54,275.74,1223.95,,,,,0.069,0.18,,
TEST_SLICE_UNION,25,11,36,0.694,0.24,16.96,0.751,0.187,9.42,4.03,303.84,330.9,2253.55,2978.42,317.25,347.1,2324.2,3051.23,13.42,47.54,70.64,313.48,,,,,,,0.514,0.363
DOCSTRING_SLICE_BLOCK,13,23,36,0.361,0.538,10.23,0.805,0.168,9.42,4.35,303.84,330.9,2253.55,2978.42,324.17,334.66,2419.63,3006.35,20.33,62.47,166.08,525.19,0.278,0.345,,,,,,
DOCSTRING_SLICE_BACKWARD,14,22,36,0.389,0.143,19.0,0.693,0.232,9.42,3.91,303.84,330.9,2253.55,2978.42,323.89,333.76,2397.75,2931.93,20.05,65.13,144.2,504.04,,,0.444,0.305,,,,
DOCSTRING_SLICE_FORWARD,12,24,36,0.333,0.667,24.33,0.759,0.212,9.42,4.16,303.84,330.9,2253.55,2978.42,297.23,339.81,2180.08,3083.71,-6.61,48.7,-73.47,354.03,,,,,0.069,0.265,,
DOCSTRING_SLICE_UNION,11,25,36,0.306,0.455,16.55,0.788,0.141,9.42,6.14,303.84,330.9,2253.55,2978.42,282.05,304.42,1989.36,2734.24,1.77,49.84,-42.31,341.84,,,,,,,0.514,0.311
SLICE_BLOCK_SLICE_BACKWARD,12,24,36,0.333,0.583,9.25,0.846,0.115,9.42,3.84,303.84,330.9,2253.55,2978.42,302.84,338.55,2211.95,3056.27,-1.0,41.71,-41.6,386.18,0.278,0.378,0.444,0.376,,,,
SLICE_BLOCK_SLICE_FORWARD,14,22,36,0.389,0.429,17.57,0.673,0.265,9.42,5.1,303.84,330.9,2253.55,2978.42,318.23,346.84,2434.94,3178.05,14.39,138.64,181.39,1386.16,0.278,0.336,,,0.069,0.256,,
SLICE_BLOCK_SLICE_UNION,11,25,36,0.306,0.545,11.55,0.786,0.17,9.42,3.59,303.84,330.9,2253.55,2978.42,309.11,341.17,2315.45,3062.59,5.67,30.99,46.35,254.34,0.278,0.315,,,,,0.514,0.469
SLICE_BACKWARD_SLICE_FORWARD,16,20,36,0.444,0.438,20.31,0.752,0.195,9.42,3.83,303.84,330.9,2253.55,2978.42,319.59,340.4,2338.13,3064.33,15.75,33.63,84.58,322.75,,,0.444,0.256,0.069,0.187,,
SLICE_BACKWARD_SLICE_UNION,16,20,36,0.444,0.438,19.25,0.77,0.187,9.42,5.06,303.84,330.9,2253.55,2978.42,313.36,357.4,2323.2,3192.31,3.18,58.17,13.47,411.61,,,0.444,0.313,,,0.514,0.38
SLICE_FORWARD_SLICE_UNION,14,22,36,0.389,0.571,31.43,0.678,0.273,9.42,6.45,303.84,330.9,2253.55,2978.42,292.73,341.14,2173.7,3072.79,-19.79,67.86,-144.24,448.09,,,,,0.069,0.205,0.514,0.426
BASELINE,27,9,36,0.75,0.37,16.3,0.788,0.162,9.42,3.15,303.84,330.9,2253.55,2978.42,327.56,350.12,2417.2,3143.11,23.72,37.85,163.65,370.1,0.278,0.256,0.444,0.336,0.069,0.144,0.514,0.424
