Level,Passed,Failed,Total,Pass_Rate,Minimal_Fix_Rate,Avg_Line_Deviation,Avg_Jaccard_Similarity,Avg_Normalized_Levenshtein,Avg_Expected_Changed_Lines,Avg_Actual_Changed_Lines,Avg_Baseline_Volume,Std_Baseline_Volume,Avg_Baseline_Effort,Std_Baseline_Effort,Avg_Fix_Volume,Std_Fix_Volume,Avg_Fix_Effort,Std_Fix_Effort,Avg_Delta_Volume,Std_Delta_Volume,Avg_Delta_Effort,Std_Delta_Effort,Block_Expected_Coverage,Block_Actual_Coverage,Backward_Expected_Coverage,Backward_Actual_Coverage,Forward_Expected_Coverage,Forward_Actual_Coverage,Union_Expected_Coverage,Union_Actual_Coverage
CODE_ERROR_TEST,21,15,36,0.583,0.238,20.05,0.646,0.3,9.42,4.76,303.84,330.9,2253.55,2978.42,345.4,356.2,2594.46,3208.71,25.54,32.4,192.05,283.3,,,,,,,,
CODE_ERROR_DOCSTRING,23,13,36,0.639,0.217,25.13,0.526,0.382,9.42,4.31,303.84,330.9,2253.55,2978.42,351.67,341.77,2648.6,3079.08,39.77,54.29,313.21,520.12,,,,,,,,
CODE_ERROR_SLICE_BLOCK,19,17,36,0.528,0.263,22.53,0.573,0.352,9.42,6.22,303.84,330.9,2253.55,2978.42,359.59,360.67,2728.85,3218.79,35.03,59.45,275.2,719.35,0.278,0.287,,,,,,
CODE_ERROR_SLICE_BACKWARD,17,19,36,0.472,0.294,20.29,0.709,0.231,9.42,3.56,303.84,330.9,2253.55,2978.42,358.61,336.17,2695.12,3031.21,33.71,48.84,286.42,522.09,,,0.444,0.312,,,,
CODE_ERROR_SLICE_FORWARD,19,17,36,0.528,0.263,20.89,0.656,0.272,9.42,4.74,303.84,330.9,2253.55,2978.42,344.46,337.88,2624.58,3073.38,30.74,60.5,275.44,549.29,,,,,0.069,0.171,,
CODE_ERROR_SLICE_UNION,19,17,36,0.528,0.158,25.68,0.607,0.323,9.42,4.25,303.84,330.9,2253.55,2978.42,341.62,334.16,2572.42,2992.53,26.02,51.23,216.17,712.79,,,,,,,0.514,0.395
CODE_TEST_DOCSTRING,22,14,36,0.611,0.227,22.09,0.609,0.322,9.42,5.51,303.84,330.9,2253.55,2978.42,354.42,353.97,2686.72,3210.8,34.56,41.49,284.32,352.03,,,,,,,,
CODE_TEST_SLICE_BLOCK,17,19,36,0.472,0.353,21.35,0.644,0.291,9.42,5.31,303.84,330.9,2253.55,2978.42,352.54,343.88,2597.02,3101.72,22.53,50.75,115.05,434.32,0.278,0.238,,,,,,
CODE_TEST_SLICE_BACKWARD,22,14,36,0.611,0.364,21.09,0.692,0.255,9.42,4.28,303.84,330.9,2253.55,2978.42,357.6,344.91,2757.89,3141.45,42.07,50.26,382.03,511.04,,,0.444,0.268,,,,
CODE_TEST_SLICE_FORWARD,24,12,36,0.667,0.208,18.42,0.616,0.309,9.42,5.09,303.84,330.9,2253.55,2978.42,349.61,341.36,2711.64,3095.97,29.8,52.09,330.89,627.39,,,,,0.069,0.164,,
