Level,Passed,Failed,Total,Pass_Rate,Minimal_Fix_Rate,Avg_Line_Deviation,Avg_Jaccard_Similarity,Avg_Normalized_Levenshtein,Avg_Expected_Changed_Lines,Avg_Actual_Changed_Lines,Avg_Baseline_Volume,Std_Baseline_Volume,Avg_Baseline_Effort,Std_Baseline_Effort,Avg_Fix_Volume,Std_Fix_Volume,Avg_Fix_Effort,Std_Fix_Effort,Avg_Delta_Volume,Std_Delta_Volume,Avg_Delta_Effort,Std_Delta_Effort,Block_Expected_Coverage,Block_Actual_Coverage,Backward_Expected_Coverage,Backward_Actual_Coverage,Forward_Expected_Coverage,Forward_Actual_Coverage,Union_Expected_Coverage,Union_Actual_Coverage
CODE_ERROR,23,13,36,0.639,0.261,23.96,0.536,0.381,9.42,4.89,303.84,330.9,2253.55,2978.42,346.02,356.67,2585.27,3226.68,31.53,48.46,254.34,473.01,,,,,,,,
CODE_TEST,21,15,36,0.583,0.286,17.05,0.664,0.28,9.42,5.89,303.84,330.9,2253.55,2978.42,357.42,355.42,2766.32,3223.86,31.83,43.64,287.68,375.89,,,,,,,,
CODE_DOCSTRING,14,22,36,0.389,0.214,9.64,0.627,0.281,9.42,7.89,303.84,330.9,2253.55,2978.42,350.85,365.4,2771.99,3494.14,57.13,83.88,637.65,1061.76,,,,,,,,
CODE_SLICE_BLOCK,15,21,36,0.417,0.333,26.0,0.542,0.39,9.42,4.11,303.84,330.9,2253.55,2978.42,331.69,345.33,2536.87,3136.83,25.13,38.63,230.81,327.41,0.278,0.309,,,,,,
CODE_SLICE_BACKWARD,15,21,36,0.417,0.4,25.13,0.553,0.363,9.42,8.47,303.84,330.9,2253.55,2978.42,333.57,326.53,2503.61,2892.95,36.47,36.41,331.46,413.28,,,0.444,0.267,,,,
CODE_SLICE_FORWARD,15,21,36,0.417,0.4,23.53,0.665,0.285,9.42,5.44,303.84,330.9,2253.55,2978.42,340.54,364.82,2564.3,3271.42,16.43,37.77,115.14,360.77,,,,,0.069,0.16,,
CODE_SLICE_UNION,16,20,36,0.444,0.312,21.25,0.6,0.319,9.42,6.89,303.84,330.9,2253.55,2978.42,311.92,345.66,2425.26,3329.03,28.19,39.14,325.9,615.72,,,,,,,0.514,0.363
ERROR_TEST,16,20,36,0.444,0.125,24.38,0.566,0.333,9.42,7.74,303.84,330.9,2253.55,2978.42,366.98,364.46,2849.3,3389.22,32.46,42.94,295.2,427.94,,,,,,,,
ERROR_DOCSTRING,13,23,36,0.361,0.231,23.62,0.565,0.35,9.42,7.44,303.84,330.9,2253.55,2978.42,350.99,351.29,2673.26,3241.24,19.74,26.93,141.48,361.55,,,,,,,,
ERROR_SLICE_BLOCK,21,15,36,0.583,0.095,31.14,0.525,0.371,9.42,5.29,303.84,330.9,2253.55,2978.42,337.25,342.66,2514.62,3103.94,25.35,44.0,179.23,437.64,0.278,0.361,,,,,,
ERROR_SLICE_BACKWARD,18,18,36,0.5,0.167,29.78,0.522,0.398,9.42,5.52,303.84,330.9,2253.55,2978.42,332.2,329.96,2476.65,3021.8,20.3,52.84,141.27,517.39,,,0.444,0.274,,,,
