Level,Passed,Failed,Total,Pass_Rate,Minimal_Fix_Rate,Avg_Line_Deviation,Avg_Jaccard_Similarity,Avg_Normalized_Levenshtein,Avg_Expected_Changed_Lines,Avg_Actual_Changed_Lines,Avg_Baseline_Volume,Std_Baseline_Volume,Avg_Baseline_Effort,Std_Baseline_Effort,Avg_Fix_Volume,Std_Fix_Volume,Avg_Fix_Effort,Std_Fix_Effort,Avg_Delta_Volume,Std_Delta_Volume,Avg_Delta_Effort,Std_Delta_Effort,Block_Expected_Coverage,Block_Actual_Coverage,Backward_Expected_Coverage,Backward_Actual_Coverage,Forward_Expected_Coverage,Forward_Actual_Coverage,Union_Expected_Coverage,Union_Actual_Coverage
CODE_ERROR_TEST,21,15,36,0.583,0.524,17.33,0.746,0.207,9.42,3.06,303.84,330.9,2253.55,2978.42,316.73,339.01,2370.02,3040.78,12.89,30.96,116.47,267.01,,,,,,,,
CODE_ERROR_DOCSTRING,15,21,36,0.417,0.467,15.6,0.788,0.172,9.42,5.0,303.84,330.9,2253.55,2978.42,319.37,349.36,2411.89,3213.16,15.53,29.68,158.34,380.72,,,,,,,,
CODE_ERROR_SLICE_BLOCK,16,20,36,0.444,0.5,13.69,0.856,0.12,9.42,2.74,303.84,330.9,2253.55,2978.42,313.96,344.01,2383.51,3222.24,10.13,33.64,129.96,501.25,0.278,0.245,,,,,,
CODE_ERROR_SLICE_BACKWARD,21,15,36,0.583,0.381,17.38,0.763,0.191,9.42,3.66,303.84,330.9,2253.55,2978.42,331.11,339.06,2516.78,3116.8,19.04,55.65,199.28,470.96,,,0.444,0.316,,,,
CODE_ERROR_SLICE_FORWARD,19,17,36,0.528,0.474,17.26,0.814,0.157,9.42,2.64,303.84,330.9,2253.55,2978.42,309.68,340.31,2325.05,3195.87,5.84,24.17,71.5,501.79,,,,,0.069,0.077,,
CODE_ERROR_SLICE_UNION,20,16,36,0.556,0.5,15.85,0.827,0.142,9.42,2.69,303.84,330.9,2253.55,2978.42,327.07,345.09,2429.64,3190.56,23.23,43.87,176.08,498.53,,,,,,,0.514,0.385
CODE_TEST_DOCSTRING,22,14,36,0.611,0.455,13.73,0.769,0.179,9.42,3.11,303.84,330.9,2253.55,2978.42,308.93,336.34,2337.15,3089.01,5.09,32.49,83.6,461.06,,,,,,,,
CODE_TEST_SLICE_BLOCK,21,15,36,0.583,0.381,19.0,0.732,0.215,9.42,3.17,303.84,330.9,2253.55,2978.42,311.29,335.53,2347.78,3055.13,7.45,32.89,94.23,435.82,0.278,0.151,,,,,,
CODE_TEST_SLICE_BACKWARD,25,11,36,0.694,0.56,15.12,0.793,0.169,9.42,2.6,303.84,330.9,2253.55,2978.42,318.11,349.83,2398.18,3222.84,14.27,41.28,144.63,486.18,,,0.444,0.356,,,,
CODE_TEST_SLICE_FORWARD,21,15,36,0.583,0.524,17.62,0.788,0.177,9.42,3.67,303.84,330.9,2253.55,2978.42,309.66,331.53,2277.51,3024.47,5.82,75.37,23.95,841.07,,,,,0.069,0.101,,
