Level,Passed,Failed,Total,Pass_Rate,Minimal_Fix_Rate,Avg_Line_Deviation,Avg_Jaccard_Similarity,Avg_Normalized_Levenshtein,Avg_Expected_Changed_Lines,Avg_Actual_Changed_Lines,Avg_Baseline_Volume,Std_Baseline_Volume,Avg_Baseline_Effort,Std_Baseline_Effort,Avg_Fix_Volume,Std_Fix_Volume,Avg_Fix_Effort,Std_Fix_Effort,Avg_Delta_Volume,Std_Delta_Volume,Avg_Delta_Effort,Std_Delta_Effort,Block_Expected_Coverage,Block_Actual_Coverage,Backward_Expected_Coverage,Backward_Actual_Coverage,Forward_Expected_Coverage,Forward_Actual_Coverage,Union_Expected_Coverage,Union_Actual_Coverage
CODE_ERROR,21,15,36,0.583,0.286,15.05,0.742,0.2,9.42,3.36,303.84,330.9,2253.55,2978.42,317.76,346.13,2406.79,3262.29,13.92,30.05,153.24,519.57,,,,,,,,
CODE_TEST,21,15,36,0.583,0.524,13.24,0.793,0.168,9.42,3.71,303.84,330.9,2253.55,2978.42,312.53,333.68,2348.02,3046.39,8.69,47.56,94.46,595.43,,,,,,,,
CODE_DOCSTRING,12,24,36,0.333,0.833,5.42,0.91,0.071,9.42,5.78,303.84,330.9,2253.55,2978.42,280.69,306.2,1955.78,2700.94,-23.15,98.89,-297.77,1200.05,,,,,,,,
CODE_SLICE_BLOCK,16,20,36,0.444,0.562,20.31,0.785,0.187,9.42,3.4,303.84,330.9,2253.55,2978.42,316.27,352.97,2353.23,3234.14,12.43,39.62,99.67,487.36,0.278,0.169,,,,,,
CODE_SLICE_BACKWARD,15,21,36,0.417,0.667,20.4,0.823,0.161,9.42,3.46,303.84,330.9,2253.55,2978.42,332.97,348.07,2500.32,3278.82,20.9,67.19,182.83,713.82,,,0.444,0.244,,,,
CODE_SLICE_FORWARD,11,25,36,0.306,0.727,1.45,0.918,0.049,9.42,3.53,303.84,330.9,2253.55,2978.42,334.23,344.47,2496.76,3189.46,27.21,76.75,207.39,723.54,,,,,0.069,0.074,,
CODE_SLICE_UNION,16,20,36,0.444,0.562,25.62,0.735,0.233,9.42,4.92,303.84,330.9,2253.55,2978.42,312.03,345.32,2425.22,3390.29,-0.04,30.18,107.72,533.0,,,,,,,0.514,0.313
ERROR_TEST,23,13,36,0.639,0.348,20.17,0.71,0.238,9.42,3.5,303.84,330.9,2253.55,2978.42,332.85,341.49,2528.48,3123.4,20.78,50.6,210.99,505.16,,,,,,,,
ERROR_DOCSTRING,16,20,36,0.444,0.438,8.38,0.816,0.14,9.42,5.21,303.84,330.9,2253.55,2978.42,299.04,337.09,2274.75,3144.5,-4.79,44.37,21.2,442.6,,,,,,,,
ERROR_SLICE_BLOCK,19,17,36,0.528,0.421,11.63,0.743,0.206,9.42,7.47,303.84,330.9,2253.55,2978.42,317.79,354.98,2549.12,3401.15,13.95,81.8,295.57,865.73,0.278,0.251,,,,,,
ERROR_SLICE_BACKWARD,19,17,36,0.528,0.632,12.37,0.865,0.109,9.42,6.67,303.84,330.9,2253.55,2978.42,303.99,319.65,2287.1,3036.93,23.72,62.75,255.43,694.32,,,0.444,0.265,,,,
ERROR_SLICE_FORWARD,16,20,36,0.444,0.438,21.75,0.69,0.261,9.42,4.36,303.84,330.9,2253.55,2978.42,325.79,341.55,2412.79,3156.25,21.95,56.36,159.24,485.73,,,,,0.069,0.085,,
ERROR_SLICE_UNION,17,19,36,0.472,0.471,3.65,0.902,0.071,9.42,6.19,303.84,330.9,2253.55,2978.42,300.24,311.73,2261.46,2982.32,-3.59,191.18,7.91,1810.22,,,,,,,0.514,0.353
TEST_DOCSTRING,20,16,36,0.556,0.3,16.3,0.736,0.199,9.42,4.03,303.84,330.9,2253.55,2978.42,299.31,337.14,2237.27,3085.13,-4.53,39.49,-16.28,396.25,,,,,,,,
TEST_SLICE_BLOCK,20,16,36,0.556,0.35,17.75,0.789,0.18,9.42,3.28,303.84,330.9,2253.55,2978.42,317.42,338.4,2426.67,3169.81,13.59,51.87,173.12,773.32,0.278,0.198,,,,,,
